iter	Passed	Remaining
0	140	140493
1	141	70608
2	142	47238
3	142	35548
4	143	28531
5	143	23849
6	144	20505
7	145	18005
8	145	16061
9	146	14499
10	147	13235
11	147	12171
12	148	11269
13	149	10494
14	149	9824
15	150	9237
16	150	8719
17	151	8263
18	152	7857
19	152	7489
20	153	7158
21	154	6855
22	154	6577
23	155	6323
24	156	6089
25	156	5871
26	157	5670
27	158	5485
28	158	5312
29	159	5148
30	159	4995
31	160	4852
32	161	4728
33	162	4619
34	163	4515
35	164	4409
36	165	4305
37	166	4207
38	166	4111
39	167	4019
40	168	3932
41	168	3849
42	169	3769
43	169	3693
44	170	3620
45	171	3550
46	171	3483
47	172	3418
48	172	3356
49	173	3297
50	174	3242
51	175	3190
52	175	3138
53	176	3088
54	176	3040
55	177	2993
56	178	2947
57	178	2902
58	179	2859
59	179	2818
60	180	2777
61	181	2738
62	181	2702
63	182	2667
64	183	2632
65	183	2598
66	184	2565
67	184	2529
68	185	2497
69	185	2467
70	186	2437
71	186	2408
72	187	2380
73	188	2352
74	188	2328
75	189	2303
76	190	2278
77	190	2253
78	191	2229
79	191	2205
80	192	2182
81	192	2160
82	193	2138
83	194	2116
84	194	2093
85	195	2074
86	195	2052
87	196	2033
88	196	2014
89	197	1995
90	197	1977
91	198	1959
92	199	1941
93	199	1924
94	200	1907
95	200	1891
96	201	1875
97	202	1860
98	202	1844
99	203	1831
100	204	1816
101	204	1799
102	204	1785
103	205	1770
104	206	1756
105	206	1743
106	207	1730
107	207	1717
108	208	1704
109	209	1691
110	209	1679
111	210	1667
112	210	1654
113	211	1642
114	211	1631
115	212	1618
116	213	1607
117	213	1596
118	214	1585
119	214	1574
120	215	1564
121	215	1553
122	216	1541
123	216	1531
124	217	1521
125	217	1511
126	218	1502
127	218	1491
128	219	1482
129	220	1474
130	221	1466
131	221	1457
132	222	1448
133	222	1440
134	223	1431
135	224	1423
136	224	1414
137	225	1405
138	225	1397
139	226	1390
140	226	1382
141	227	1374
142	228	1366
143	228	1359
144	229	1351
145	229	1344
146	230	1337
147	230	1329
148	231	1322
149	232	1316
150	232	1309
151	233	1303
152	234	1296
153	234	1289
154	235	1283
155	235	1276
156	236	1269
157	237	1263
158	237	1256
159	238	1250
160	238	1244
161	239	1238
162	240	1232
163	240	1226
164	241	1220
165	241	1214
166	242	1209
167	242	1203
168	243	1197
169	244	1191
170	244	1186
171	245	1181
172	245	1175
173	246	1171
174	247	1166
175	248	1161
176	248	1156
177	249	1151
178	249	1146
179	250	1141
180	251	1135
181	251	1131
182	252	1126
183	252	1121
184	253	1116
185	254	1111
186	254	1107
187	255	1102
188	255	1097
189	256	1092
190	256	1088
191	257	1084
192	258	1079
193	258	1075
194	259	1071
195	260	1067
196	260	1063
197	261	1059
198	262	1054
199	262	1050
200	263	1046
201	263	1042
202	264	1038
203	265	1034
204	265	1030
205	266	1026
206	266	1022
207	267	1018
208	267	1014
209	268	1010
210	269	1006
211	269	1002
212	270	998
213	270	995
214	271	991
215	272	987
216	272	983
217	273	980
218	273	976
219	274	972
220	274	969
221	275	965
222	276	962
223	277	959
224	277	956
225	278	952
226	278	949
227	279	945
228	279	942
229	280	939
230	281	935
231	281	932
232	282	929
233	282	926
234	283	923
235	284	919
236	284	916
237	285	913
238	285	910
239	286	907
240	287	904
241	287	901
242	288	898
243	289	895
244	289	893
245	290	889
246	290	887
247	291	884
248	292	881
249	292	878
250	293	875
251	293	872
252	294	869
253	295	866
254	295	863
255	296	860
256	296	858
257	297	855
258	298	852
259	298	849
260	299	847
261	299	844
262	300	841
263	300	838
264	301	836
265	302	834
266	302	831
267	303	828
268	304	826
269	304	823
270	305	820
271	305	818
272	306	815
273	306	813
274	307	810
275	308	808
276	308	805
277	309	803
278	309	801
279	310	798
280	311	796
281	311	793
282	312	791
283	312	788
284	313	786
285	314	784
286	314	781
287	315	779
288	315	777
289	317	778
290	318	776
291	319	774
292	320	772
293	321	771
294	321	769
295	322	766
296	323	764
297	323	762
298	324	760
299	324	757
300	325	755
301	325	753
302	326	751
303	327	749
304	327	746
305	328	744
306	328	742
307	329	740
308	330	738
309	330	736
310	331	734
311	331	731
312	332	729
313	333	727
314	333	725
315	334	723
316	334	721
317	335	719
318	336	717
319	336	715
320	337	713
321	337	711
322	338	709
323	339	707
324	339	705
325	340	703
326	340	701
327	341	699
328	342	697
329	342	695
330	343	693
331	343	691
332	344	689
333	345	688
334	345	686
335	346	684
336	346	682
337	347	680
338	348	678
339	348	677
340	349	675
341	349	673
342	350	671
343	351	670
344	351	668
345	352	666
346	353	664
347	353	662
348	354	660
349	354	658
350	355	656
351	355	655
352	356	653
353	357	651
354	357	650
355	358	648
356	359	646
357	359	645
358	360	643
359	360	641
360	361	639
361	362	638
362	362	636
363	363	634
364	364	633
365	364	631
366	365	629
367	365	628
368	366	626
369	367	625
370	367	623
371	368	621
372	368	620
373	369	618
374	370	617
375	370	615
